"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6850","Главная страница содержит заголовок","","Fri Dec 12 05:13:15 UTC 2025","failed","Fri Dec 12 05:13:22 UTC 2025","Тест класс","example.spec.ts","",""
"","5877","Главная страница содержит заголовок","","Fri Dec 12 05:16:43 UTC 2025","failed","Fri Dec 12 05:16:49 UTC 2025","Тест класс","example-diff.spec.ts","",""
"","590","Главная страница содержит заголовок 2","","Fri Dec 12 05:09:51 UTC 2025","passed","Fri Dec 12 05:09:52 UTC 2025","Тест класс","example.spec.ts","",""
"","6894","Главная страница содержит заголовок","","Fri Dec 12 05:01:09 UTC 2025","failed","Fri Dec 12 05:01:15 UTC 2025","Тест класс","example-diff.spec.ts","",""
"","996","Главная страница содержит заголовок 2","","Fri Dec 12 05:07:12 UTC 2025","passed","Fri Dec 12 05:07:13 UTC 2025","Тест класс","example.spec.ts","",""
"","6837","Главная страница содержит заголовок","","Fri Dec 12 05:02:48 UTC 2025","failed","Fri Dec 12 05:02:55 UTC 2025","Тест класс","example.spec.ts","",""
"","1095","Главная страница содержит заголовок 2","","Fri Dec 12 05:00:22 UTC 2025","passed","Fri Dec 12 05:00:23 UTC 2025","Тест класс","example.spec.ts","",""
"","6982","Главная страница содержит заголовок","","Fri Dec 12 05:07:39 UTC 2025","failed","Fri Dec 12 05:07:46 UTC 2025","Тест класс","example.spec.ts","",""
"","6737","Главная страница содержит заголовок","","Fri Dec 12 05:15:03 UTC 2025","failed","Fri Dec 12 05:15:09 UTC 2025","Тест класс","example-diff.spec.ts","",""
"","938","Главная страница содержит заголовок 2","","Fri Dec 12 05:05:01 UTC 2025","passed","Fri Dec 12 05:05:01 UTC 2025","Тест класс","example-diff.spec.ts","",""
"","6740","Главная страница содержит заголовок","","Fri Dec 12 05:10:37 UTC 2025","failed","Fri Dec 12 05:10:44 UTC 2025","Тест класс","example-diff.spec.ts","",""
"","6534","Главная страница содержит заголовок","","Fri Dec 12 05:08:28 UTC 2025","failed","Fri Dec 12 05:08:35 UTC 2025","Тест класс","example-diff.spec.ts","",""
"","475","Главная страница содержит заголовок 2","","Fri Dec 12 05:16:52 UTC 2025","passed","Fri Dec 12 05:16:53 UTC 2025","Тест класс","example.spec.ts","",""
"","1179","Главная страница содержит заголовок 2","","Fri Dec 12 05:14:49 UTC 2025","passed","Fri Dec 12 05:14:50 UTC 2025","Тест класс","example-diff.spec.ts","",""
"","1286","Главная страница содержит заголовок 2","","Fri Dec 12 05:03:24 UTC 2025","passed","Fri Dec 12 05:03:25 UTC 2025","Тест класс","example-diff.spec.ts","",""
"","6756","Главная страница содержит заголовок","","Fri Dec 12 05:02:00 UTC 2025","failed","Fri Dec 12 05:02:07 UTC 2025","Тест класс","example.spec.ts","",""
"","6853","Главная страница содержит заголовок","","Fri Dec 12 05:03:58 UTC 2025","failed","Fri Dec 12 05:04:05 UTC 2025","Тест класс","example-diff.spec.ts","",""
"","7096","Главная страница содержит заголовок","","Fri Dec 12 05:02:24 UTC 2025","failed","Fri Dec 12 05:02:31 UTC 2025","Тест класс","example.spec.ts","",""
"","6905","Главная страница содержит заголовок","","Fri Dec 12 05:16:23 UTC 2025","failed","Fri Dec 12 05:16:30 UTC 2025","Тест класс","example.spec.ts","",""
"","649","Главная страница содержит заголовок 2","","Fri Dec 12 05:12:10 UTC 2025","passed","Fri Dec 12 05:12:11 UTC 2025","Тест класс","example-diff.spec.ts","",""
"","8255","Главная страница содержит заголовок","","Fri Dec 12 05:09:26 UTC 2025","failed","Fri Dec 12 05:09:35 UTC 2025","Тест класс","example-diff.spec.ts","",""
"","7967","Главная страница содержит заголовок","","Fri Dec 12 04:57:23 UTC 2025","failed","Fri Dec 12 04:57:31 UTC 2025","Тест класс","example.spec.ts","",""
"","1272","Главная страница содержит заголовок 2","","Fri Dec 12 05:02:33 UTC 2025","passed","Fri Dec 12 05:02:35 UTC 2025","Тест класс","example.spec.ts","",""
"","7437","Главная страница содержит заголовок","","Fri Dec 12 05:12:41 UTC 2025","failed","Fri Dec 12 05:12:48 UTC 2025","Тест класс","example-diff.spec.ts","",""
"","6944","Главная страница содержит заголовок","","Fri Dec 12 05:13:04 UTC 2025","failed","Fri Dec 12 05:13:11 UTC 2025","Тест класс","example-diff.spec.ts","",""
"","1288","Главная страница содержит заголовок 2","","Fri Dec 12 05:05:51 UTC 2025","passed","Fri Dec 12 05:05:53 UTC 2025","Тест класс","example-diff.spec.ts","",""
"","641","Главная страница содержит заголовок 2","","Fri Dec 12 04:59:25 UTC 2025","passed","Fri Dec 12 04:59:26 UTC 2025","Тест класс","example.spec.ts","",""
"","1069","Главная страница содержит заголовок 2","","Fri Dec 12 05:13:45 UTC 2025","passed","Fri Dec 12 05:13:46 UTC 2025","Тест класс","example-diff.spec.ts","",""
"","6577","Главная страница содержит заголовок","","Fri Dec 12 05:14:27 UTC 2025","failed","Fri Dec 12 05:14:33 UTC 2025","Тест класс","example-diff.spec.ts","",""
"","6992","Главная страница содержит заголовок","","Fri Dec 12 05:10:23 UTC 2025","failed","Fri Dec 12 05:10:30 UTC 2025","Тест класс","example.spec.ts","",""
"","6834","Главная страница содержит заголовок","","Fri Dec 12 05:03:10 UTC 2025","failed","Fri Dec 12 05:03:17 UTC 2025","Тест класс","example-diff.spec.ts","",""
"","7516","Главная страница содержит заголовок","","Fri Dec 12 04:58:05 UTC 2025","failed","Fri Dec 12 04:58:12 UTC 2025","Тест класс","example.spec.ts","",""
"","1285","Главная страница содержит заголовок 2","","Fri Dec 12 05:14:50 UTC 2025","passed","Fri Dec 12 05:14:52 UTC 2025","Тест класс","example.spec.ts","",""
"","823","Главная страница содержит заголовок 2","","Fri Dec 12 05:13:13 UTC 2025","passed","Fri Dec 12 05:13:14 UTC 2025","Тест класс","example-diff.spec.ts","",""
"","7290","Главная страница содержит заголовок","","Fri Dec 12 05:11:05 UTC 2025","failed","Fri Dec 12 05:11:12 UTC 2025","Тест класс","example.spec.ts","",""
"","6618","Главная страница содержит заголовок","","Fri Dec 12 05:04:12 UTC 2025","failed","Fri Dec 12 05:04:18 UTC 2025","Тест класс","example.spec.ts","",""
"","8118","Главная страница содержит заголовок","","Fri Dec 12 04:56:53 UTC 2025","failed","Fri Dec 12 04:57:01 UTC 2025","Тест класс","example-diff.spec.ts","",""
"","1158","Главная страница содержит заголовок 2","","Fri Dec 12 05:08:16 UTC 2025","passed","Fri Dec 12 05:08:17 UTC 2025","Тест класс","example.spec.ts","",""
"","7158","Главная страница содержит заголовок","","Fri Dec 12 05:02:36 UTC 2025","failed","Fri Dec 12 05:02:43 UTC 2025","Тест класс","example.spec.ts","",""
"","6707","Главная страница содержит заголовок","","Fri Dec 12 04:58:15 UTC 2025","failed","Fri Dec 12 04:58:22 UTC 2025","Тест класс","example-diff.spec.ts","",""
"","6882","Главная страница содержит заголовок","","Fri Dec 12 05:08:07 UTC 2025","failed","Fri Dec 12 05:08:14 UTC 2025","Тест класс","example.spec.ts","",""
"","1469","Главная страница содержит заголовок 2","","Fri Dec 12 05:02:29 UTC 2025","passed","Fri Dec 12 05:02:31 UTC 2025","Тест класс","example-diff.spec.ts","",""
"","7040","Главная страница содержит заголовок","","Fri Dec 12 05:15:52 UTC 2025","failed","Fri Dec 12 05:15:59 UTC 2025","Тест класс","example.spec.ts","",""
"","6712","Главная страница содержит заголовок","","Fri Dec 12 05:14:14 UTC 2025","failed","Fri Dec 12 05:14:21 UTC 2025","Тест класс","example.spec.ts","",""
